band,id,name
1,1,Angus Young
2,2,Eric Clapton
3,3,Kirk Hammett
32,4,Stuarts Little
56,5,Benny Jobs
20,6,Bucky Roberts
35,7,Tim Rock
63,8,Dwey John
23,9,Rob Bucky
45,10,Jimmy John
13,11,Antony DSouza
42,12,Rakesh Ahuja
24,13,Rahul Verma
15,14,Karan Sharma
64,15,Rajesh Saxena
5,16,Abhi Yadav
52,17,Ashish Singh
8,18,Akash Gupta
42,19,Ravi Shinde
6,20,Kalpana Rathod
25,21,Sheha Patil
52,22,Rajesh Mishra
62,23,Ravi Tondon
57,24,Smitha Rao
13,25,Raju Irani
45,26,Sidharth Mishra
28,27,Rakesh Joshi
46,28,Raghu Avasthi
37,29,Kapil Sharma
48,30,Raju Jaiswal
23,31,Jimmy DCosta
50,32,Robert Stocks
47,33,Michelle Johnson
12,34,Neelam Choudhary
47,35,Rakshith Gaurav
39,36,Gaurav Ranjan
26,37,Adithya Singh
58,38,Adithya Sawant
3,39,Aayush Tanuja
46,40,Jimmy Rock
